

============================== EXP at 2026-05-03 01:43:05 ==============================
dev | avg_loss: 3.105224609375 | {'exact_match': 0.0, 'rougeL': 7.095} | threshold: 0.0
train | epoch   0 | Iter:     10/  1785 | global iter:     10/  1785 | loss: 1.8652 | ds_loss: 1.3553 | lr: 9.9992e-05 | scale:  2048.0000 | micro time: 0.854 | step time: 0.918
train | epoch   0 | Iter:     20/  1785 | global iter:     20/  1785 | loss: 1.6030 | ds_loss: 1.3178 | lr: 9.9969e-05 | scale:  2048.0000 | micro time: 0.745 | step time: 0.893


============================== EXP at 2026-05-03 01:44:22 ==============================
dev | avg_loss: 3.105224609375 | {'exact_match': 0.0, 'rougeL': 7.095} | threshold: 0.0
train | epoch   0 | Iter:     18/  3570 | global iter:     10/  1785 | loss: 1.7373 | ds_loss: 1.2728 | lr: 9.9994e-05 | scale:  2048.0000 | micro time: 0.422 | step time: 0.898
train | epoch   0 | Iter:     38/  3570 | global iter:     20/  1785 | loss: 1.6282 | ds_loss: 1.3523 | lr: 9.9972e-05 | scale:  2048.0000 | micro time: 0.459 | step time: 0.993
train | epoch   0 | Iter:     58/  3570 | global iter:     30/  1785 | loss: 1.5154 | ds_loss: 1.2951 | lr: 9.9935e-05 | scale:  2048.0000 | micro time: 0.449 | step time: 0.951
train | epoch   0 | Iter:     78/  3570 | global iter:     40/  1785 | loss: 1.5071 | ds_loss: 1.3154 | lr: 9.9882e-05 | scale:  2048.0000 | micro time: 0.483 | step time: 0.934
train | epoch   0 | Iter:     98/  3570 | global iter:     50/  1785 | loss: 1.4407 | ds_loss: 1.2770 | lr: 9.9814e-05 | scale:  2048.0000 | micro time: 0.463 | step time: 0.968
train | epoch   0 | Iter:    118/  3570 | global iter:     60/  1785 | loss: 1.4501 | ds_loss: 1.2978 | lr: 9.9731e-05 | scale:  2048.0000 | micro time: 0.540 | step time: 0.976
train | epoch   0 | Iter:    138/  3570 | global iter:     70/  1785 | loss: 1.4423 | ds_loss: 1.3013 | lr: 9.9632e-05 | scale:  2048.0000 | micro time: 0.604 | step time: 0.981
train | epoch   0 | Iter:    158/  3570 | global iter:     80/  1785 | loss: 1.4334 | ds_loss: 1.2985 | lr: 9.9518e-05 | scale:  2048.0000 | micro time: 0.568 | step time: 0.984
train | epoch   0 | Iter:    178/  3570 | global iter:     90/  1785 | loss: 1.3853 | ds_loss: 1.2578 | lr: 9.9388e-05 | scale:  2048.0000 | micro time: 0.555 | step time: 0.969
train | epoch   0 | Iter:    198/  3570 | global iter:    100/  1785 | loss: 1.3787 | ds_loss: 1.2565 | lr: 9.9244e-05 | scale:  2048.0000 | micro time: 0.489 | step time: 1.007
train | epoch   0 | Iter:    218/  3570 | global iter:    110/  1785 | loss: 1.3825 | ds_loss: 1.2638 | lr: 9.9084e-05 | scale:  2048.0000 | micro time: 0.513 | step time: 1.037
train | epoch   0 | Iter:    238/  3570 | global iter:    120/  1785 | loss: 1.3713 | ds_loss: 1.2595 | lr: 9.8908e-05 | scale:  2048.0000 | micro time: 0.482 | step time: 0.965
train | epoch   0 | Iter:    258/  3570 | global iter:    130/  1785 | loss: 1.3336 | ds_loss: 1.2217 | lr: 9.8718e-05 | scale:  2048.0000 | micro time: 0.459 | step time: 0.990
train | epoch   0 | Iter:    278/  3570 | global iter:    140/  1785 | loss: 1.3781 | ds_loss: 1.2708 | lr: 9.8513e-05 | scale:  2048.0000 | micro time: 0.560 | step time: 0.973
train | epoch   0 | Iter:    298/  3570 | global iter:    150/  1785 | loss: 1.3764 | ds_loss: 1.2708 | lr: 9.8292e-05 | scale:  2048.0000 | micro time: 0.510 | step time: 1.044
train | epoch   0 | Iter:    318/  3570 | global iter:    160/  1785 | loss: 1.3370 | ds_loss: 1.2301 | lr: 9.8057e-05 | scale:  2048.0000 | micro time: 0.489 | step time: 0.980
train | epoch   0 | Iter:    338/  3570 | global iter:    170/  1785 | loss: 1.3426 | ds_loss: 1.2406 | lr: 9.7807e-05 | scale:  2048.0000 | micro time: 0.581 | step time: 1.018
train | epoch   0 | Iter:    358/  3570 | global iter:    180/  1785 | loss: 1.3197 | ds_loss: 1.2196 | lr: 9.7542e-05 | scale:  2048.0000 | micro time: 0.540 | step time: 0.996
train | epoch   0 | Iter:    378/  3570 | global iter:    190/  1785 | loss: 1.3377 | ds_loss: 1.2419 | lr: 9.7262e-05 | scale:  2048.0000 | micro time: 0.444 | step time: 1.009
train | epoch   0 | Iter:    398/  3570 | global iter:    200/  1785 | loss: 1.3306 | ds_loss: 1.2317 | lr: 9.6968e-05 | scale:  2048.0000 | micro time: 0.542 | step time: 0.995
train | epoch   0 | Iter:    418/  3570 | global iter:    210/  1785 | loss: 1.3100 | ds_loss: 1.2144 | lr: 9.6659e-05 | scale:  2048.0000 | micro time: 0.459 | step time: 0.967
train | epoch   0 | Iter:    438/  3570 | global iter:    220/  1785 | loss: 1.3004 | ds_loss: 1.2084 | lr: 9.6335e-05 | scale:  2048.0000 | micro time: 0.449 | step time: 0.967
train | epoch   0 | Iter:    458/  3570 | global iter:    230/  1785 | loss: 1.2813 | ds_loss: 1.1895 | lr: 9.5998e-05 | scale:  2048.0000 | micro time: 0.540 | step time: 0.933
train | epoch   0 | Iter:    478/  3570 | global iter:    240/  1785 | loss: 1.3313 | ds_loss: 1.2380 | lr: 9.5646e-05 | scale:  2048.0000 | micro time: 0.435 | step time: 1.008
train | epoch   0 | Iter:    498/  3570 | global iter:    250/  1785 | loss: 1.3132 | ds_loss: 1.2226 | lr: 9.5280e-05 | scale:  2048.0000 | micro time: 0.443 | step time: 1.003
train | epoch   0 | Iter:    518/  3570 | global iter:    260/  1785 | loss: 1.2883 | ds_loss: 1.1987 | lr: 9.4900e-05 | scale:  2048.0000 | micro time: 0.432 | step time: 0.998
train | epoch   0 | Iter:    538/  3570 | global iter:    270/  1785 | loss: 1.3495 | ds_loss: 1.2560 | lr: 9.4506e-05 | scale:  2048.0000 | micro time: 0.434 | step time: 1.019
train | epoch   0 | Iter:    558/  3570 | global iter:    280/  1785 | loss: 1.3117 | ds_loss: 1.2231 | lr: 9.4098e-05 | scale:  2048.0000 | micro time: 0.460 | step time: 1.004
train | epoch   0 | Iter:    578/  3570 | global iter:    290/  1785 | loss: 1.3498 | ds_loss: 1.2612 | lr: 9.3677e-05 | scale:  2048.0000 | micro time: 0.454 | step time: 0.983
train | epoch   0 | Iter:    598/  3570 | global iter:    300/  1785 | loss: 1.3181 | ds_loss: 1.2303 | lr: 9.3242e-05 | scale:  2048.0000 | micro time: 0.647 | step time: 1.001
train | epoch   0 | Iter:    618/  3570 | global iter:    310/  1785 | loss: 1.2719 | ds_loss: 1.1845 | lr: 9.2794e-05 | scale:  2048.0000 | micro time: 0.522 | step time: 0.976
train | epoch   0 | Iter:    638/  3570 | global iter:    320/  1785 | loss: 1.3247 | ds_loss: 1.2382 | lr: 9.2332e-05 | scale:  2048.0000 | micro time: 0.460 | step time: 0.987
train | epoch   0 | Iter:    658/  3570 | global iter:    330/  1785 | loss: 1.3358 | ds_loss: 1.2474 | lr: 9.1858e-05 | scale:  2048.0000 | micro time: 0.519 | step time: 0.956
train | epoch   0 | Iter:    678/  3570 | global iter:    340/  1785 | loss: 1.3128 | ds_loss: 1.2279 | lr: 9.1370e-05 | scale:  2048.0000 | micro time: 0.547 | step time: 0.988
train | epoch   0 | Iter:    698/  3570 | global iter:    350/  1785 | loss: 1.2807 | ds_loss: 1.1961 | lr: 9.0870e-05 | scale:  2048.0000 | micro time: 0.441 | step time: 0.972
dev | avg_loss: 4.50634765625 | {'exact_match': 0.6, 'rougeL': 21.564} | threshold: 0.0
train | epoch   1 | Iter:    718/  3570 | global iter:    360/  1785 | loss: 1.3009 | ds_loss: 1.2154 | lr: 9.0357e-05 | scale:  2048.0000 | micro time: 0.603 | step time: 0.993
train | epoch   1 | Iter:    738/  3570 | global iter:    370/  1785 | loss: 1.2082 | ds_loss: 1.1245 | lr: 8.9831e-05 | scale:  2048.0000 | micro time: 0.577 | step time: 1.003
train | epoch   1 | Iter:    758/  3570 | global iter:    380/  1785 | loss: 1.2255 | ds_loss: 1.1439 | lr: 8.9294e-05 | scale:  2048.0000 | micro time: 0.489 | step time: 0.937
train | epoch   1 | Iter:    778/  3570 | global iter:    390/  1785 | loss: 1.2162 | ds_loss: 1.1359 | lr: 8.8744e-05 | scale:  2048.0000 | micro time: 0.646 | step time: 1.024
train | epoch   1 | Iter:    798/  3570 | global iter:    400/  1785 | loss: 1.2285 | ds_loss: 1.1469 | lr: 8.8182e-05 | scale:  2048.0000 | micro time: 0.420 | step time: 1.113
train | epoch   1 | Iter:    818/  3570 | global iter:    410/  1785 | loss: 1.2767 | ds_loss: 1.1958 | lr: 8.7608e-05 | scale:  2048.0000 | micro time: 0.438 | step time: 0.956
train | epoch   1 | Iter:    838/  3570 | global iter:    420/  1785 | loss: 1.1551 | ds_loss: 1.0758 | lr: 8.7023e-05 | scale:  2048.0000 | micro time: 0.559 | step time: 1.095
train | epoch   1 | Iter:    858/  3570 | global iter:    430/  1785 | loss: 1.1901 | ds_loss: 1.1102 | lr: 8.6426e-05 | scale:  2048.0000 | micro time: 0.432 | step time: 1.275
train | epoch   1 | Iter:    878/  3570 | global iter:    440/  1785 | loss: 1.1704 | ds_loss: 1.0903 | lr: 8.5818e-05 | scale:  2048.0000 | micro time: 0.479 | step time: 1.090
