

============================== EXP at 2026-04-29 10:53:27 ==============================


============================== EXP at 2026-04-29 13:42:13 ==============================
dev | avg_loss: 3.1082763671875 | {'exact_match': 0.0, 'rougeL': 7.2567} | threshold: 0.0
train | epoch   0 | Iter:     10/  3570 | global iter:     10/  3570 | loss: 1.9108 | ds_loss: 1.3701 | lr: 4.9999e-05 | scale:  2048.0000 | micro time: 0.883 | step time: 0.912
train | epoch   0 | Iter:     20/  3570 | global iter:     20/  3570 | loss: 1.6351 | ds_loss: 1.2864 | lr: 4.9996e-05 | scale:  2048.0000 | micro time: 0.889 | step time: 0.874
train | epoch   0 | Iter:     30/  3570 | global iter:     30/  3570 | loss: 1.5672 | ds_loss: 1.3043 | lr: 4.9991e-05 | scale:  2048.0000 | micro time: 0.894 | step time: 0.884
train | epoch   0 | Iter:     40/  3570 | global iter:     40/  3570 | loss: 1.5368 | ds_loss: 1.3099 | lr: 4.9985e-05 | scale:  2048.0000 | micro time: 0.876 | step time: 0.887
train | epoch   0 | Iter:     50/  3570 | global iter:     50/  3570 | loss: 1.4134 | ds_loss: 1.2118 | lr: 4.9976e-05 | scale:  2048.0000 | micro time: 0.903 | step time: 0.906
train | epoch   0 | Iter:     60/  3570 | global iter:     60/  3570 | loss: 1.4818 | ds_loss: 1.3022 | lr: 4.9965e-05 | scale:  2048.0000 | micro time: 0.896 | step time: 0.872
train | epoch   0 | Iter:     70/  3570 | global iter:     70/  3570 | loss: 1.4127 | ds_loss: 1.2417 | lr: 4.9953e-05 | scale:  2048.0000 | micro time: 0.859 | step time: 0.883
train | epoch   0 | Iter:     80/  3570 | global iter:     80/  3570 | loss: 1.4462 | ds_loss: 1.2792 | lr: 4.9938e-05 | scale:  2048.0000 | micro time: 0.882 | step time: 0.894
train | epoch   0 | Iter:     90/  3570 | global iter:     90/  3570 | loss: 1.3681 | ds_loss: 1.2167 | lr: 4.9922e-05 | scale:  2048.0000 | micro time: 0.901 | step time: 0.895
train | epoch   0 | Iter:    100/  3570 | global iter:    100/  3570 | loss: 1.4276 | ds_loss: 1.2840 | lr: 4.9903e-05 | scale:  2048.0000 | micro time: 0.899 | step time: 0.893
train | epoch   0 | Iter:    110/  3570 | global iter:    110/  3570 | loss: 1.4236 | ds_loss: 1.2793 | lr: 4.9883e-05 | scale:  2048.0000 | micro time: 0.926 | step time: 0.899
train | epoch   0 | Iter:    120/  3570 | global iter:    120/  3570 | loss: 1.3404 | ds_loss: 1.2060 | lr: 4.9861e-05 | scale:  2048.0000 | micro time: 0.881 | step time: 0.893
train | epoch   0 | Iter:    130/  3570 | global iter:    130/  3570 | loss: 1.3936 | ds_loss: 1.2613 | lr: 4.9837e-05 | scale:  2048.0000 | micro time: 0.906 | step time: 0.883
train | epoch   0 | Iter:    140/  3570 | global iter:    140/  3570 | loss: 1.3824 | ds_loss: 1.2574 | lr: 4.9811e-05 | scale:  2048.0000 | micro time: 0.877 | step time: 0.888
train | epoch   0 | Iter:    150/  3570 | global iter:    150/  3570 | loss: 1.3741 | ds_loss: 1.2500 | lr: 4.9783e-05 | scale:  2048.0000 | micro time: 0.872 | step time: 0.891
train | epoch   0 | Iter:    160/  3570 | global iter:    160/  3570 | loss: 1.4106 | ds_loss: 1.2871 | lr: 4.9753e-05 | scale:  2048.0000 | micro time: 0.876 | step time: 0.890
train | epoch   0 | Iter:    170/  3570 | global iter:    170/  3570 | loss: 1.3346 | ds_loss: 1.2158 | lr: 4.9721e-05 | scale:  2048.0000 | micro time: 0.903 | step time: 0.883
train | epoch   0 | Iter:    180/  3570 | global iter:    180/  3570 | loss: 1.3400 | ds_loss: 1.2221 | lr: 4.9688e-05 | scale:  2048.0000 | micro time: 0.898 | step time: 0.896
train | epoch   0 | Iter:    190/  3570 | global iter:    190/  3570 | loss: 1.3491 | ds_loss: 1.2355 | lr: 4.9652e-05 | scale:  2048.0000 | micro time: 0.920 | step time: 0.889
