

============================== EXP at 2026-04-30 13:36:45 ==============================


============================== EXP at 2026-04-30 13:37:33 ==============================


============================== EXP at 2026-04-30 13:39:34 ==============================
dev | avg_loss: 2.2266845703125 | {'exact_match': 0.0, 'rougeL': 9.3261} | threshold: 0.0
train | epoch   0 | Iter:     18/  7140 | global iter:     10/  3570 | loss: -0.8520 | ds_loss: -1.1249 | lr: 4.9999e-04 | scale:  2048.0000 | micro time: 0.733 | step time: 1.280
train | epoch   0 | Iter:     38/  7140 | global iter:     20/  3570 | loss: -0.4080 | ds_loss: -0.6097 | lr: 4.9997e-04 | scale:  2048.0000 | micro time: 0.799 | step time: 1.522
train | epoch   0 | Iter:     58/  7140 | global iter:     30/  3570 | loss: -0.5192 | ds_loss: -0.6700 | lr: 4.9992e-04 | scale:  2048.0000 | micro time: 0.805 | step time: 1.593
train | epoch   0 | Iter:     78/  7140 | global iter:     40/  3570 | loss: -0.3484 | ds_loss: -0.4852 | lr: 4.9985e-04 | scale:  2048.0000 | micro time: 0.808 | step time: 1.602
train | epoch   0 | Iter:     98/  7140 | global iter:     50/  3570 | loss: -0.4022 | ds_loss: -0.5272 | lr: 4.9977e-04 | scale:  2048.0000 | micro time: 0.807 | step time: 1.585
train | epoch   0 | Iter:    118/  7140 | global iter:     60/  3570 | loss: -0.3565 | ds_loss: -0.4760 | lr: 4.9966e-04 | scale:  2048.0000 | micro time: 0.758 | step time: 1.507
train | epoch   0 | Iter:    138/  7140 | global iter:     70/  3570 | loss: -0.2934 | ds_loss: -0.4119 | lr: 4.9954e-04 | scale:  2048.0000 | micro time: 0.695 | step time: 1.411
train | epoch   0 | Iter:    158/  7140 | global iter:     80/  3570 | loss: -0.3289 | ds_loss: -0.4383 | lr: 4.9940e-04 | scale:  2048.0000 | micro time: 0.765 | step time: 1.401
train | epoch   0 | Iter:    178/  7140 | global iter:     90/  3570 | loss: -0.3694 | ds_loss: -0.4716 | lr: 4.9923e-04 | scale:  2048.0000 | micro time: 0.711 | step time: 1.400
train | epoch   0 | Iter:    198/  7140 | global iter:    100/  3570 | loss: -0.1922 | ds_loss: -0.2965 | lr: 4.9905e-04 | scale:  2048.0000 | micro time: 0.790 | step time: 1.424
train | epoch   0 | Iter:    218/  7140 | global iter:    110/  3570 | loss: -0.3242 | ds_loss: -0.4221 | lr: 4.9885e-04 | scale:  2048.0000 | micro time: 0.812 | step time: 1.594
train | epoch   0 | Iter:    238/  7140 | global iter:    120/  3570 | loss: -0.3357 | ds_loss: -0.4352 | lr: 4.9863e-04 | scale:  2048.0000 | micro time: 0.828 | step time: 1.593
train | epoch   0 | Iter:    258/  7140 | global iter:    130/  3570 | loss: -0.4248 | ds_loss: -0.5129 | lr: 4.9839e-04 | scale:  2048.0000 | micro time: 0.795 | step time: 1.586
train | epoch   0 | Iter:    278/  7140 | global iter:    140/  3570 | loss: -0.3376 | ds_loss: -0.4366 | lr: 4.9813e-04 | scale:  2048.0000 | micro time: 0.786 | step time: 1.598
train | epoch   0 | Iter:    298/  7140 | global iter:    150/  3570 | loss: -0.2135 | ds_loss: -0.3110 | lr: 4.9785e-04 | scale:  2048.0000 | micro time: 0.694 | step time: 1.477
train | epoch   0 | Iter:    318/  7140 | global iter:    160/  3570 | loss: -0.4364 | ds_loss: -0.5243 | lr: 4.9756e-04 | scale:  2048.0000 | micro time: 1.219 | step time: 1.988
train | epoch   0 | Iter:    338/  7140 | global iter:    170/  3570 | loss: -0.3271 | ds_loss: -0.4185 | lr: 4.9724e-04 | scale:  2048.0000 | micro time: 0.811 | step time: 2.074
train | epoch   0 | Iter:    358/  7140 | global iter:    180/  3570 | loss: -0.2747 | ds_loss: -0.3609 | lr: 4.9691e-04 | scale:  2048.0000 | micro time: 1.008 | step time: 2.071
train | epoch   0 | Iter:    378/  7140 | global iter:    190/  3570 | loss: -0.3317 | ds_loss: -0.4173 | lr: 4.9655e-04 | scale:  2048.0000 | micro time: 1.014 | step time: 1.968
train | epoch   0 | Iter:    398/  7140 | global iter:    200/  3570 | loss: -0.3457 | ds_loss: -0.4346 | lr: 4.9618e-04 | scale:  2048.0000 | micro time: 0.915 | step time: 1.736
train | epoch   0 | Iter:    418/  7140 | global iter:    210/  3570 | loss: -0.3720 | ds_loss: -0.4568 | lr: 4.9578e-04 | scale:  2048.0000 | micro time: 1.148 | step time: 1.917
train | epoch   0 | Iter:    438/  7140 | global iter:    220/  3570 | loss: -0.2301 | ds_loss: -0.3119 | lr: 4.9537e-04 | scale:  2048.0000 | micro time: 1.040 | step time: 2.070
train | epoch   0 | Iter:    458/  7140 | global iter:    230/  3570 | loss: -0.3658 | ds_loss: -0.4474 | lr: 4.9494e-04 | scale:  2048.0000 | micro time: 0.756 | step time: 1.630
train | epoch   0 | Iter:    478/  7140 | global iter:    240/  3570 | loss: -0.2592 | ds_loss: -0.3409 | lr: 4.9449e-04 | scale:  2048.0000 | micro time: 0.715 | step time: 1.412
train | epoch   0 | Iter:    498/  7140 | global iter:    250/  3570 | loss: -0.2942 | ds_loss: -0.3713 | lr: 4.9402e-04 | scale:  2048.0000 | micro time: 0.690 | step time: 1.404
train | epoch   0 | Iter:    518/  7140 | global iter:    260/  3570 | loss: -0.3239 | ds_loss: -0.4028 | lr: 4.9354e-04 | scale:  2048.0000 | micro time: 0.727 | step time: 1.401
train | epoch   0 | Iter:    538/  7140 | global iter:    270/  3570 | loss: -0.3548 | ds_loss: -0.4293 | lr: 4.9303e-04 | scale:  2048.0000 | micro time: 0.694 | step time: 1.409
train | epoch   0 | Iter:    558/  7140 | global iter:    280/  3570 | loss: -0.2890 | ds_loss: -0.3731 | lr: 4.9250e-04 | scale:  2048.0000 | micro time: 0.735 | step time: 1.441
train | epoch   0 | Iter:    578/  7140 | global iter:    290/  3570 | loss: -0.3271 | ds_loss: -0.4067 | lr: 4.9196e-04 | scale:  2048.0000 | micro time: 0.730 | step time: 1.422
train | epoch   0 | Iter:    598/  7140 | global iter:    300/  3570 | loss: -0.3503 | ds_loss: -0.4267 | lr: 4.9140e-04 | scale:  2048.0000 | micro time: 0.714 | step time: 1.406
train | epoch   0 | Iter:    618/  7140 | global iter:    310/  3570 | loss: -0.3566 | ds_loss: -0.4320 | lr: 4.9082e-04 | scale:  2048.0000 | micro time: 0.724 | step time: 1.406
train | epoch   0 | Iter:    638/  7140 | global iter:    320/  3570 | loss: -0.2604 | ds_loss: -0.3367 | lr: 4.9022e-04 | scale:  2048.0000 | micro time: 0.711 | step time: 1.411
train | epoch   0 | Iter:    658/  7140 | global iter:    330/  3570 | loss: -0.1902 | ds_loss: -0.2712 | lr: 4.8960e-04 | scale:  2048.0000 | micro time: 0.718 | step time: 1.428
train | epoch   0 | Iter:    678/  7140 | global iter:    340/  3570 | loss: -0.2921 | ds_loss: -0.3652 | lr: 4.8896e-04 | scale:  2048.0000 | micro time: 0.708 | step time: 1.410
train | epoch   0 | Iter:    698/  7140 | global iter:    350/  3570 | loss: -0.2456 | ds_loss: -0.3220 | lr: 4.8830e-04 | scale:  2048.0000 | micro time: 0.738 | step time: 1.407
