

============================== EXP at 2026-04-30 12:05:04 ==============================
dev | avg_loss: 2.2091064453125 | {'exact_match': 0.0, 'rougeL': 14.9784} | threshold: 0.0
train | epoch   0 | Iter:     18/  7140 | global iter:     10/  3570 | loss: -0.3813 | ds_loss: -0.5706 | lr: 9.9998e-05 | scale:  2048.0000 | micro time: 0.917 | step time: 1.477
train | epoch   0 | Iter:     38/  7140 | global iter:     20/  3570 | loss: -0.0906 | ds_loss: -0.2426 | lr: 9.9993e-05 | scale:  2048.0000 | micro time: 0.845 | step time: 1.585
train | epoch   0 | Iter:     58/  7140 | global iter:     30/  3570 | loss: -0.1722 | ds_loss: -0.3037 | lr: 9.9984e-05 | scale:  2048.0000 | micro time: 0.924 | step time: 1.537
train | epoch   0 | Iter:     78/  7140 | global iter:     40/  3570 | loss: -0.0913 | ds_loss: -0.2075 | lr: 9.9971e-05 | scale:  2048.0000 | micro time: 0.944 | step time: 1.617
train | epoch   0 | Iter:     98/  7140 | global iter:     50/  3570 | loss: -0.0730 | ds_loss: -0.1812 | lr: 9.9954e-05 | scale:  2048.0000 | micro time: 0.825 | step time: 1.562
train | epoch   0 | Iter:    118/  7140 | global iter:     60/  3570 | loss: -0.0771 | ds_loss: -0.1746 | lr: 9.9933e-05 | scale:  2048.0000 | micro time: 0.943 | step time: 1.589
train | epoch   0 | Iter:    138/  7140 | global iter:     70/  3570 | loss: -0.1673 | ds_loss: -0.2617 | lr: 9.9908e-05 | scale:  2048.0000 | micro time: 0.865 | step time: 1.549
train | epoch   0 | Iter:    158/  7140 | global iter:     80/  3570 | loss: -0.0240 | ds_loss: -0.1151 | lr: 9.9879e-05 | scale:  2048.0000 | micro time: 0.872 | step time: 1.578
train | epoch   0 | Iter:    178/  7140 | global iter:     90/  3570 | loss: -0.0836 | ds_loss: -0.1720 | lr: 9.9847e-05 | scale:  2048.0000 | micro time: 0.880 | step time: 1.577
train | epoch   0 | Iter:    198/  7140 | global iter:    100/  3570 | loss: -0.0960 | ds_loss: -0.1802 | lr: 9.9811e-05 | scale:  2048.0000 | micro time: 0.845 | step time: 1.639
train | epoch   0 | Iter:    218/  7140 | global iter:    110/  3570 | loss: -0.0520 | ds_loss: -0.1341 | lr: 9.9770e-05 | scale:  2048.0000 | micro time: 0.833 | step time: 1.564
train | epoch   0 | Iter:    238/  7140 | global iter:    120/  3570 | loss: -0.0340 | ds_loss: -0.1115 | lr: 9.9726e-05 | scale:  2048.0000 | micro time: 0.886 | step time: 1.575
train | epoch   0 | Iter:    258/  7140 | global iter:    130/  3570 | loss: -0.0173 | ds_loss: -0.0958 | lr: 9.9678e-05 | scale:  2048.0000 | micro time: 0.695 | step time: 1.385
train | epoch   0 | Iter:    278/  7140 | global iter:    140/  3570 | loss: -0.0368 | ds_loss: -0.1149 | lr: 9.9627e-05 | scale:  2048.0000 | micro time: 0.705 | step time: 1.233
train | epoch   0 | Iter:    298/  7140 | global iter:    150/  3570 | loss: -0.0522 | ds_loss: -0.1294 | lr: 9.9571e-05 | scale:  2048.0000 | micro time: 0.690 | step time: 1.239
train | epoch   0 | Iter:    318/  7140 | global iter:    160/  3570 | loss: 0.0213 | ds_loss: -0.0535 | lr: 9.9512e-05 | scale:  2048.0000 | micro time: 0.710 | step time: 1.244
train | epoch   0 | Iter:    338/  7140 | global iter:    170/  3570 | loss: -0.0742 | ds_loss: -0.1489 | lr: 9.9449e-05 | scale:  2048.0000 | micro time: 0.712 | step time: 1.238
train | epoch   0 | Iter:    358/  7140 | global iter:    180/  3570 | loss: -0.0352 | ds_loss: -0.1074 | lr: 9.9382e-05 | scale:  2048.0000 | micro time: 0.696 | step time: 1.230
train | epoch   0 | Iter:    378/  7140 | global iter:    190/  3570 | loss: 0.0144 | ds_loss: -0.0576 | lr: 9.9311e-05 | scale:  2048.0000 | micro time: 0.692 | step time: 1.231
train | epoch   0 | Iter:    398/  7140 | global iter:    200/  3570 | loss: -0.0169 | ds_loss: -0.0882 | lr: 9.9236e-05 | scale:  2048.0000 | micro time: 0.719 | step time: 1.244
train | epoch   0 | Iter:    418/  7140 | global iter:    210/  3570 | loss: -0.0581 | ds_loss: -0.1270 | lr: 9.9158e-05 | scale:  2048.0000 | micro time: 0.732 | step time: 1.254
train | epoch   0 | Iter:    438/  7140 | global iter:    220/  3570 | loss: -0.0195 | ds_loss: -0.0886 | lr: 9.9075e-05 | scale:  2048.0000 | micro time: 0.688 | step time: 1.247
train | epoch   0 | Iter:    458/  7140 | global iter:    230/  3570 | loss: -0.0031 | ds_loss: -0.0698 | lr: 9.8989e-05 | scale:  2048.0000 | micro time: 0.720 | step time: 1.266
train | epoch   0 | Iter:    478/  7140 | global iter:    240/  3570 | loss: -0.0406 | ds_loss: -0.1070 | lr: 9.8899e-05 | scale:  2048.0000 | micro time: 0.737 | step time: 1.243
train | epoch   0 | Iter:    498/  7140 | global iter:    250/  3570 | loss: -0.0789 | ds_loss: -0.1446 | lr: 9.8806e-05 | scale:  2048.0000 | micro time: 0.707 | step time: 1.242
train | epoch   0 | Iter:    518/  7140 | global iter:    260/  3570 | loss: -0.0386 | ds_loss: -0.1062 | lr: 9.8708e-05 | scale:  2048.0000 | micro time: 0.742 | step time: 1.257
train | epoch   0 | Iter:    538/  7140 | global iter:    270/  3570 | loss: -0.0626 | ds_loss: -0.1272 | lr: 9.8607e-05 | scale:  2048.0000 | micro time: 0.695 | step time: 1.245
train | epoch   0 | Iter:    558/  7140 | global iter:    280/  3570 | loss: -0.0077 | ds_loss: -0.0749 | lr: 9.8502e-05 | scale:  2048.0000 | micro time: 0.728 | step time: 1.253
train | epoch   0 | Iter:    578/  7140 | global iter:    290/  3570 | loss: -0.0205 | ds_loss: -0.0852 | lr: 9.8393e-05 | scale:  2048.0000 | micro time: 0.692 | step time: 1.237
train | epoch   0 | Iter:    598/  7140 | global iter:    300/  3570 | loss: -0.1021 | ds_loss: -0.1685 | lr: 9.8281e-05 | scale:  2048.0000 | micro time: 0.729 | step time: 1.251
train | epoch   0 | Iter:    618/  7140 | global iter:    310/  3570 | loss: 0.0164 | ds_loss: -0.0452 | lr: 9.8165e-05 | scale:  2048.0000 | micro time: 0.683 | step time: 1.238
train | epoch   0 | Iter:    638/  7140 | global iter:    320/  3570 | loss: -0.0162 | ds_loss: -0.0800 | lr: 9.8045e-05 | scale:  2048.0000 | micro time: 0.696 | step time: 1.237
train | epoch   0 | Iter:    658/  7140 | global iter:    330/  3570 | loss: -0.0745 | ds_loss: -0.1379 | lr: 9.7921e-05 | scale:  2048.0000 | micro time: 0.717 | step time: 1.251
train | epoch   0 | Iter:    678/  7140 | global iter:    340/  3570 | loss: 0.0303 | ds_loss: -0.0309 | lr: 9.7794e-05 | scale:  2048.0000 | micro time: 0.709 | step time: 1.241
train | epoch   0 | Iter:    698/  7140 | global iter:    350/  3570 | loss: -0.0473 | ds_loss: -0.1105 | lr: 9.7663e-05 | scale:  2048.0000 | micro time: 0.710 | step time: 1.257
train | epoch   0 | Iter:    718/  7140 | global iter:    360/  3570 | loss: 0.0006 | ds_loss: -0.0630 | lr: 9.7528e-05 | scale:  2048.0000 | micro time: 0.705 | step time: 1.267
train | epoch   0 | Iter:    738/  7140 | global iter:    370/  3570 | loss: 0.0112 | ds_loss: -0.0525 | lr: 9.7390e-05 | scale:  2048.0000 | micro time: 0.709 | step time: 1.256
train | epoch   0 | Iter:    758/  7140 | global iter:    380/  3570 | loss: -0.0174 | ds_loss: -0.0742 | lr: 9.7248e-05 | scale:  2048.0000 | micro time: 0.700 | step time: 1.241
train | epoch   0 | Iter:    778/  7140 | global iter:    390/  3570 | loss: -0.0252 | ds_loss: -0.0875 | lr: 9.7102e-05 | scale:  2048.0000 | micro time: 0.713 | step time: 1.259
train | epoch   0 | Iter:    798/  7140 | global iter:    400/  3570 | loss: -0.0026 | ds_loss: -0.0638 | lr: 9.6952e-05 | scale:  2048.0000 | micro time: 0.732 | step time: 1.263
train | epoch   0 | Iter:    818/  7140 | global iter:    410/  3570 | loss: -0.0117 | ds_loss: -0.0743 | lr: 9.6799e-05 | scale:  2048.0000 | micro time: 0.720 | step time: 1.250
train | epoch   0 | Iter:    838/  7140 | global iter:    420/  3570 | loss: -0.0019 | ds_loss: -0.0665 | lr: 9.6643e-05 | scale:  2048.0000 | micro time: 0.711 | step time: 1.257
train | epoch   0 | Iter:    858/  7140 | global iter:    430/  3570 | loss: -0.0578 | ds_loss: -0.1189 | lr: 9.6483e-05 | scale:  2048.0000 | micro time: 0.692 | step time: 1.248
train | epoch   0 | Iter:    878/  7140 | global iter:    440/  3570 | loss: -0.0119 | ds_loss: -0.0732 | lr: 9.6319e-05 | scale:  2048.0000 | micro time: 0.694 | step time: 1.248
train | epoch   0 | Iter:    898/  7140 | global iter:    450/  3570 | loss: 0.0560 | ds_loss: -0.0043 | lr: 9.6151e-05 | scale:  2048.0000 | micro time: 0.711 | step time: 1.246
train | epoch   0 | Iter:    918/  7140 | global iter:    460/  3570 | loss: 0.0016 | ds_loss: -0.0620 | lr: 9.5980e-05 | scale:  2048.0000 | micro time: 0.711 | step time: 1.248
train | epoch   0 | Iter:    938/  7140 | global iter:    470/  3570 | loss: -0.0572 | ds_loss: -0.1165 | lr: 9.5806e-05 | scale:  2048.0000 | micro time: 0.699 | step time: 1.239
train | epoch   0 | Iter:    958/  7140 | global iter:    480/  3570 | loss: -0.0083 | ds_loss: -0.0691 | lr: 9.5628e-05 | scale:  2048.0000 | micro time: 0.718 | step time: 1.251
train | epoch   0 | Iter:    978/  7140 | global iter:    490/  3570 | loss: 0.0367 | ds_loss: -0.0259 | lr: 9.5446e-05 | scale:  2048.0000 | micro time: 0.698 | step time: 1.256
train | epoch   0 | Iter:    998/  7140 | global iter:    500/  3570 | loss: -0.0036 | ds_loss: -0.0612 | lr: 9.5261e-05 | scale:  2048.0000 | micro time: 0.703 | step time: 1.248
train | epoch   0 | Iter:   1018/  7140 | global iter:    510/  3570 | loss: -0.0246 | ds_loss: -0.0853 | lr: 9.5072e-05 | scale:  2048.0000 | micro time: 0.715 | step time: 1.256
train | epoch   0 | Iter:   1038/  7140 | global iter:    520/  3570 | loss: -0.0040 | ds_loss: -0.0626 | lr: 9.4880e-05 | scale:  2048.0000 | micro time: 0.690 | step time: 1.260
train | epoch   0 | Iter:   1058/  7140 | global iter:    530/  3570 | loss: -0.0080 | ds_loss: -0.0673 | lr: 9.4685e-05 | scale:  2048.0000 | micro time: 0.690 | step time: 1.314
train | epoch   0 | Iter:   1078/  7140 | global iter:    540/  3570 | loss: 0.0100 | ds_loss: -0.0534 | lr: 9.4486e-05 | scale:  2048.0000 | micro time: 0.715 | step time: 1.273
train | epoch   0 | Iter:   1098/  7140 | global iter:    550/  3570 | loss: -0.0159 | ds_loss: -0.0761 | lr: 9.4283e-05 | scale:  2048.0000 | micro time: 0.708 | step time: 1.254
