Ngo

============================== EXP at 2026-05-02 16:03:14 ==============================
dev | avg_loss: 2.201904296875 | {'exact_match': 0.1, 'rougeL': 14.5842} | threshold: 0.0
train | epoch   0 | Iter:     18/  3570 | global iter:     10/  1785 | loss: 1.2718 | ds_loss: 1.0815 | lr: 9.9994e-05 | scale:  2048.0000 | micro time: 1.915 | step time: 3.108
train | epoch   0 | Iter:     38/  3570 | global iter:     20/  1785 | loss: 1.3738 | ds_loss: 1.2286 | lr: 9.9972e-05 | scale:  2048.0000 | micro time: 1.856 | step time: 3.397
train | epoch   0 | Iter:     58/  3570 | global iter:     30/  1785 | loss: 1.3635 | ds_loss: 1.2411 | lr: 9.9935e-05 | scale:  2048.0000 | micro time: 1.986 | step time: 3.416
train | epoch   0 | Iter:     78/  3570 | global iter:     40/  1785 | loss: 1.2797 | ds_loss: 1.1706 | lr: 9.9882e-05 | scale:  2048.0000 | micro time: 1.942 | step time: 3.429


============================== EXP at 2026-05-02 16:06:44 ==============================
train | epoch   0 | Iter:     98/  3570 | global iter:     50/  1785 | loss: 1.2643 | ds_loss: 1.1644 | lr: 9.9814e-05 | scale:  2048.0000 | micro time: 1.897 | step time: 3.430
train | epoch   0 | Iter:    118/  3570 | global iter:     60/  1785 | loss: 1.2618 | ds_loss: 1.1706 | lr: 9.9731e-05 | scale:  2048.0000 | micro time: 1.848 | step time: 3.371
train | epoch   0 | Iter:    138/  3570 | global iter:     70/  1785 | loss: 1.2571 | ds_loss: 1.1688 | lr: 9.9632e-05 | scale:  2048.0000 | micro time: 1.860 | step time: 3.384
train | epoch   0 | Iter:    158/  3570 | global iter:     80/  1785 | loss: 1.3040 | ds_loss: 1.2184 | lr: 9.9518e-05 | scale:  2048.0000 | micro time: 1.860 | step time: 3.410
train | epoch   0 | Iter:    178/  3570 | global iter:     90/  1785 | loss: 1.2670 | ds_loss: 1.1842 | lr: 9.9388e-05 | scale:  2048.0000 | micro time: 1.932 | step time: 3.433
train | epoch   0 | Iter:    198/  3570 | global iter:    100/  1785 | loss: 1.2808 | ds_loss: 1.2013 | lr: 9.9244e-05 | scale:  2048.0000 | micro time: 1.847 | step time: 3.428
train | epoch   0 | Iter:    218/  3570 | global iter:    110/  1785 | loss: 1.2833 | ds_loss: 1.2063 | lr: 9.9084e-05 | scale:  2048.0000 | micro time: 1.536 | step time: 3.229
train | epoch   0 | Iter:    238/  3570 | global iter:    120/  1785 | loss: 1.2674 | ds_loss: 1.1943 | lr: 9.8908e-05 | scale:  2048.0000 | micro time: 1.829 | step time: 3.284
train | epoch   0 | Iter:    258/  3570 | global iter:    130/  1785 | loss: 1.2172 | ds_loss: 1.1433 | lr: 9.8718e-05 | scale:  2048.0000 | micro time: 1.898 | step time: 3.309
train | epoch   0 | Iter:    278/  3570 | global iter:    140/  1785 | loss: 1.2570 | ds_loss: 1.1851 | lr: 9.8513e-05 | scale:  2048.0000 | micro time: 1.872 | step time: 3.247
train | epoch   0 | Iter:    298/  3570 | global iter:    150/  1785 | loss: 1.2297 | ds_loss: 1.1591 | lr: 9.8292e-05 | scale:  2048.0000 | micro time: 1.993 | step time: 3.449
train | epoch   0 | Iter:    318/  3570 | global iter:    160/  1785 | loss: 1.2528 | ds_loss: 1.1845 | lr: 9.8057e-05 | scale:  2048.0000 | micro time: 1.926 | step time: 3.480
train | epoch   0 | Iter:    338/  3570 | global iter:    170/  1785 | loss: 1.2165 | ds_loss: 1.1495 | lr: 9.7807e-05 | scale:  2048.0000 | micro time: 1.935 | step time: 3.442
train | epoch   0 | Iter:    358/  3570 | global iter:    180/  1785 | loss: 1.2419 | ds_loss: 1.1739 | lr: 9.7542e-05 | scale:  2048.0000 | micro time: 1.914 | step time: 3.476
train | epoch   0 | Iter:    378/  3570 | global iter:    190/  1785 | loss: 1.2259 | ds_loss: 1.1609 | lr: 9.7262e-05 | scale:  2048.0000 | micro time: 1.886 | step time: 3.399
train | epoch   0 | Iter:    398/  3570 | global iter:    200/  1785 | loss: 1.1975 | ds_loss: 1.1323 | lr: 9.6968e-05 | scale:  2048.0000 | micro time: 1.896 | step time: 3.348
train | epoch   0 | Iter:    418/  3570 | global iter:    210/  1785 | loss: 1.2243 | ds_loss: 1.1575 | lr: 9.6659e-05 | scale:  2048.0000 | micro time: 1.816 | step time: 3.408
train | epoch   0 | Iter:    438/  3570 | global iter:    220/  1785 | loss: 1.1855 | ds_loss: 1.1208 | lr: 9.6335e-05 | scale:  2048.0000 | micro time: 1.587 | step time: 3.277
train | epoch   0 | Iter:    458/  3570 | global iter:    230/  1785 | loss: 1.2054 | ds_loss: 1.1401 | lr: 9.5998e-05 | scale:  2048.0000 | micro time: 1.770 | step time: 3.386
train | epoch   0 | Iter:    478/  3570 | global iter:    240/  1785 | loss: 1.2021 | ds_loss: 1.1390 | lr: 9.5646e-05 | scale:  2048.0000 | micro time: 1.934 | step time: 3.444
train | epoch   0 | Iter:    498/  3570 | global iter:    250/  1785 | loss: 1.2511 | ds_loss: 1.1887 | lr: 9.5280e-05 | scale:  2048.0000 | micro time: 1.959 | step time: 3.471
train | epoch   0 | Iter:    518/  3570 | global iter:    260/  1785 | loss: 1.2235 | ds_loss: 1.1612 | lr: 9.4900e-05 | scale:  2048.0000 | micro time: 1.891 | step time: 3.437
train | epoch   0 | Iter:    538/  3570 | global iter:    270/  1785 | loss: 1.2240 | ds_loss: 1.1602 | lr: 9.4506e-05 | scale:  2048.0000 | micro time: 1.830 | step time: 3.460
train | epoch   0 | Iter:    558/  3570 | global iter:    280/  1785 | loss: 1.1854 | ds_loss: 1.1235 | lr: 9.4098e-05 | scale:  2048.0000 | micro time: 1.929 | step time: 3.446
train | epoch   0 | Iter:    578/  3570 | global iter:    290/  1785 | loss: 1.2355 | ds_loss: 1.1745 | lr: 9.3677e-05 | scale:  2048.0000 | micro time: 1.879 | step time: 3.437
